dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.994915,12.565646,0.000082,0.016400,1.640000,164.000000,6.283100
0.010000,5.994924,12.565646,0.000091,0.000904,-1.549595,-318.959499,6.283109
0.010000,5.994944,12.565646,0.000111,0.002033,0.112938,166.253331,6.283129
0.010000,5.994980,12.565646,0.000148,0.003613,0.157924,4.498533,6.283165
0.010000,5.996281,12.565646,0.001448,0.130046,12.643308,1248.538418,0.000034
0.010000,5.998977,12.565646,0.004144,0.269607,13.956175,131.286672,0.000106
0.010000,6.002347,12.565647,0.007514,0.336993,6.738518,-721.765642,0.000196
0.010000,6.006390,12.565648,0.011558,0.404367,6.737403,-0.111511,0.000304
0.010000,6.011108,12.565650,0.016275,0.471727,6.736060,-0.134313,0.000429
0.010000,6.016498,12.565652,0.021666,0.539072,6.734512,-0.154797,0.000572
0.010000,6.022562,12.565656,0.027730,0.606400,6.732718,-0.179387,0.000732
0.010000,6.029299,12.565662,0.034467,0.673707,6.730715,-0.200257,0.000909
0.010000,6.036709,12.565669,0.041877,0.740992,6.728485,-0.223067,0.001103
0.010000,6.044792,12.565679,0.049959,0.808252,6.726035,-0.244966,0.001313
0.010000,6.053547,12.565691,0.058714,0.875486,6.723356,-0.267868,0.001540
0.010000,6.062973,12.565707,0.068141,0.942690,6.720463,-0.289350,0.001783
0.010000,6.073072,12.565726,0.078240,1.009864,6.717335,-0.312794,0.002042
0.010000,6.083842,12.565750,0.089010,1.077003,6.713994,-0.334053,0.002316
0.010000,6.095283,12.565778,0.100451,1.144108,6.710423,-0.357116,0.002605
0.010000,6.107395,12.565811,0.112562,1.211174,6.706631,-0.379227,0.002909
0.010000,6.120177,12.565851,0.125344,1.278200,6.702615,-0.401609,0.003227
0.010000,6.133629,12.565896,0.138796,1.345184,6.698377,-0.423761,0.003559
0.010000,6.147750,12.565949,0.152917,1.412123,6.693912,-0.446496,0.003904
0.010000,6.162540,12.566009,0.167708,1.479015,6.689229,-0.468316,0.004262
0.010000,6.177998,12.566078,0.183166,1.545858,6.684315,-0.491449,0.004632
0.010000,6.194124,12.566156,0.199293,1.612650,6.679185,-0.512960,0.005015
0.010000,6.210918,12.566243,0.216087,1.679389,6.673828,-0.535705,0.005409
0.010000,6.228379,12.566341,0.233547,1.746071,6.668244,-0.558373,0.005814
0.010000,6.246505,12.566451,0.251674,1.812695,6.662437,-0.580776,0.006229
0.010000,6.265297,12.566572,0.270467,1.879260,6.656413,-0.602403,0.006653
0.010000,6.284755,12.566705,0.289924,1.945761,6.650157,-0.625509,0.007087
0.010000,6.304876,12.566852,0.310046,2.012198,6.643680,-0.647748,0.007529
0.010000,6.325661,12.567014,0.330832,2.078568,6.636983,-0.669720,0.007978
0.010000,6.347109,12.567190,0.352281,2.144868,6.630053,-0.693015,0.008435
0.010000,6.369219,12.567381,0.374392,2.211097,6.622910,-0.714263,0.008898
0.010000,6.391991,12.567589,0.397164,2.277253,6.615535,-0.737539,0.009367
0.010000,6.415423,12.567814,0.420598,2.343332,6.607939,-0.759542,0.009840
0.010000,6.439515,12.568057,0.444691,2.409333,6.600121,-0.781798,0.010317
0.010000,6.464266,12.568318,0.469443,2.475254,6.592075,-0.804632,0.010798
