dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.995000,13.565646,0.000082,0.016400,1.640000,164.000000,6.283100
0.010000,5.995000,13.565646,0.000410,0.049200,3.280000,164.000000,6.283109
0.010000,5.995000,13.565646,0.001148,0.098400,4.920000,164.000000,6.283129
0.010000,5.995000,13.565646,0.002460,0.164000,6.560000,164.000000,6.283165
0.010000,5.996246,13.565646,0.004428,0.229600,6.560000,-0.000000,0.000034
0.010000,5.998870,13.565646,0.007052,0.295200,6.560000,-0.000000,0.000106
0.010000,6.002150,13.565647,0.010332,0.360800,6.560000,0.000000,0.000196
0.010000,6.006086,13.565648,0.014268,0.426400,6.560000,0.000000,0.000304
0.010000,6.010678,13.565649,0.018860,0.492000,6.560000,-0.000000,0.000429
0.010000,6.015926,13.565652,0.024108,0.557600,6.560000,0.000000,0.000572
0.010000,6.021830,13.565656,0.030012,0.623200,6.560000,-0.000000,0.000732
0.010000,6.028390,13.565661,0.036572,0.688800,6.560000,0.000000,0.000909
0.010000,6.035606,13.565669,0.043788,0.754400,6.560000,0.000000,0.001103
0.010000,6.043478,13.565678,0.051660,0.820000,6.560000,0.000000,0.001313
0.010000,6.052006,13.565690,0.060188,0.885600,6.560000,0.000000,0.001540
0.010000,6.061190,13.565706,0.069372,0.951200,6.560000,-0.000000,0.001783
0.010000,6.071030,13.565724,0.079212,1.016800,6.560000,0.000000,0.002042
0.010000,6.081526,13.565747,0.089708,1.082400,6.560000,0.000000,0.002316
0.010000,6.092678,13.565775,0.100860,1.148000,6.560000,-0.000000,0.002605
0.010000,6.104486,13.565807,0.112668,1.213600,6.560000,0.000000,0.002909
0.010000,6.116950,13.565845,0.125132,1.279200,6.560000,-0.000000,0.003227
0.010000,6.130070,13.565890,0.138252,1.344800,6.560000,0.000000,0.003559
0.010000,6.143846,13.565941,0.152028,1.410400,6.560000,0.000000,0.003904
0.010000,6.158278,13.566000,0.166460,1.476000,6.560000,0.000000,0.004262
0.010000,6.173366,13.566067,0.181548,1.541600,6.560000,-0.000000,0.004632
0.010000,6.189109,13.566143,0.197292,1.607200,6.560000,0.000000,0.005015
0.010000,6.205509,13.566229,0.213692,1.672800,6.560000,-0.000000,0.005409
0.010000,6.222565,13.566325,0.230748,1.738400,6.560000,0.000000,0.005814
0.010000,6.240277,13.566431,0.248460,1.804000,6.560000,0.000000,0.006229
0.010000,6.258644,13.566550,0.266828,1.869600,6.560000,-0.000000,0.006653
0.010000,6.277668,13.566680,0.285852,1.935200,6.560000,0.000000,0.007087
0.010000,6.297347,13.566824,0.305532,2.000800,6.560000,0.000000,0.007529
0.010000,6.317683,13.566982,0.325868,2.066400,6.560000,-0.000000,0.007978
0.010000,6.338674,13.567154,0.346860,2.132000,6.560000,0.000000,0.008435
0.010000,6.360321,13.567342,0.368508,2.197600,6.560000,-0.000000,0.008898
0.010000,6.382624,13.567545,0.390812,2.263200,6.560000,0.000000,0.009367
0.010000,6.405583,13.567766,0.413772,2.328800,6.560000,0.000000,0.009840
0.010000,6.429198,13.568004,0.437388,2.394400,6.560000,0.000000,0.010317
0.010000,6.453469,13.568260,0.461660,2.460000,6.560000,0.000000,0.010798
0.010000,6.478395,13.568535,0.486588,2.525600,6.560000,-0.000000,0.011281
0.010000,6.503977,13.568830,0.512172,2.591200,6.560000,0.000000,0.011765
0.010000,6.530216,13.569145,0.538412,2.656800,6.560000,-0.000000,0.012250
0.010000,6.557109,13.569481,0.565308,2.722400,6.560000,-0.000000,0.012735
0.010000,6.584659,13.569839,0.592860,2.788000,6.560000,0.000000,0.013219
0.010000,6.612865,13.570219,0.621068,2.853600,6.560000,-0.000000,0.013701
0.010000,6.641726,13.570621,0.649932,2.919200,6.560000,0.000000,0.014179
0.010000,6.671243,13.571047,0.679452,2.984800,6.560000,-0.000000,0.014654
0.010000,6.701415,13.571496,0.709628,3.050400,6.560000,0.000000,0.015123
0.010000,6.732244,13.571969,0.740460,3.116000,6.560000,0.000000,0.015587
0.010000,6.763728,13.572467,0.771948,3.181600,6.560000,0.000000,0.016043
0.010000,6.795868,13.572990,0.804092,3.247200,6.560000,0.000000,0.016491
0.010000,6.828663,13.573538,0.836892,3.312800,6.560000,-0.000000,0.016930
0.010000,6.862114,13.574112,0.870348,3.378400,6.560000,0.000000,0.017359
0.010000,6.896221,13.574711,0.904460,3.444000,6.560000,-0.000000,0.017775
0.010000,6.930983,13.575336,0.939228,3.509600,6.560000,0.000000,0.018180
0.010000,6.966401,13.575987,0.974652,3.575200,6.560000,0.000000,0.018570
0.010000,7.002475,13.576664,1.010732,3.640800,6.560000,-0.000000,0.018945
0.010000,7.039204,13.577367,1.047468,3.706400,6.560000,-0.000000,0.019304
0.010000,7.076589,13.578095,1.084860,3.772000,6.560000,0.000000,0.019646
0.010000,7.114630,13.578848,1.122908,3.837600,6.560000,0.000000,0.019968
0.010000,7.153326,13.579627,1.161612,3.903200,6.560000,-0.000000,0.020271
0.010000,7.192677,13.580431,1.200972,3.968800,6.560000,0.000000,0.020552
0.010000,7.232685,13.581258,1.240988,4.034400,6.560000,0.000000,0.020810
0.010000,7.273348,13.582109,1.281660,4.100000,6.560000,-0.000000,0.021044
0.010000,7.314667,13.582983,1.322988,4.165600,6.560000,0.000000,0.021252
0.010000,7.356641,13.583880,1.364972,4.231200,6.560000,0.000000,0.021434
0.010000,7.399271,13.584797,1.407612,4.296800,6.560000,-0.000000,0.021587
0.010000,7.442557,13.585734,1.450908,4.362400,6.560000,0.000000,0.021710
0.010000,7.486499,13.586690,1.494860,4.428000,6.560000,0.000000,0.021802
0.010000,7.531096,13.587664,1.539468,4.493600,6.560000,0.000000,0.021861
0.010000,7.576349,13.588654,1.584732,4.559200,6.560000,0.000000,0.021886
0.010000,7.622258,13.589659,1.630652,4.624800,6.560000,0.000000,0.021875
0.010000,7.668823,13.590677,1.677228,4.690400,6.560000,0.000000,0.021827
0.010000,7.716044,13.591706,1.724460,4.756000,6.560000,0.000000,0.021739
0.010000,7.763921,13.592744,1.772348,4.821600,6.560000,0.000000,0.021611
0.010000,7.812453,13.593789,1.820892,4.887200,6.560000,0.000000,0.021441
0.010000,7.861642,13.594839,1.870092,4.952800,6.560000,-0.000000,0.021227
0.010000,7.911487,13.595891,1.919948,5.018400,6.560000,0.000000,0.020967
0.010000,7.961988,13.596942,1.970460,5.084000,6.560000,0.000000,0.020660
