dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.995085,14.565646,0.000082,0.016400,1.640000,164.000000,6.283100
0.010000,5.995076,14.565646,0.000091,0.000904,-1.549595,-318.959499,6.283109
0.010000,5.995056,14.565646,0.000111,0.002033,0.112938,166.253331,6.283129
0.010000,5.995020,14.565646,0.000148,0.003613,0.157924,4.498533,6.283165
0.010000,5.996212,14.565646,0.001340,0.119219,11.560621,1140.269765,0.000034
0.010000,5.998764,14.565646,0.003892,0.255192,13.597359,203.673809,0.000106
0.010000,6.001954,14.565647,0.007082,0.319007,6.381485,-721.587413,0.000196
0.010000,6.005782,14.565648,0.010910,0.382833,6.382599,0.111351,0.000304
0.010000,6.010249,14.565649,0.015377,0.446673,6.383930,0.133159,0.000429
0.010000,6.015354,14.565652,0.020482,0.510528,6.385502,0.157168,0.000572
0.010000,6.021098,14.565656,0.026226,0.574400,6.387275,0.177296,0.000732
0.010000,6.027481,14.565661,0.032609,0.638293,6.389285,0.200955,0.000909
0.010000,6.034503,14.565668,0.039631,0.702208,6.391512,0.222785,0.001103
0.010000,6.042165,14.565677,0.047293,0.766148,6.393967,0.245488,0.001313
0.010000,6.050466,14.565689,0.055594,0.830114,6.396640,0.267250,0.001540
0.010000,6.059407,14.565704,0.064535,0.894110,6.399543,0.290367,0.001783
0.010000,6.068988,14.565722,0.074116,0.958136,6.402660,0.311635,0.002042
0.010000,6.079210,14.565745,0.084338,1.022197,6.406010,0.334986,0.002316
0.010000,6.090073,14.565771,0.095201,1.086292,6.409576,0.356636,0.002605
0.010000,6.101577,14.565803,0.106705,1.150426,6.413368,0.379200,0.002909
0.010000,6.113723,14.565840,0.118851,1.214600,6.417383,0.401517,0.003227
0.010000,6.126512,14.565884,0.131639,1.278816,6.421624,0.424064,0.003559
0.010000,6.139942,14.565934,0.145070,1.343077,6.426085,0.446065,0.003904
0.010000,6.154016,14.565991,0.159144,1.407385,6.430774,0.468946,0.004262
0.010000,6.168733,14.566057,0.173861,1.471741,6.435680,0.490587,0.004632
0.010000,6.184095,14.566131,0.189223,1.536150,6.440818,0.513779,0.005015
0.010000,6.200100,14.566214,0.205229,1.600611,6.446176,0.535804,0.005409
0.010000,6.216751,14.566308,0.221880,1.665129,6.451755,0.557908,0.005814
0.010000,6.234048,14.566412,0.239177,1.729705,6.457557,0.580269,0.006229
0.010000,6.251991,14.566527,0.257121,1.794340,6.463591,0.603375,0.006653
0.010000,6.270581,14.566655,0.275711,1.859039,6.469842,0.625073,0.007087
0.010000,6.289819,14.566796,0.294949,1.923802,6.476318,0.647600,0.007529
0.010000,6.309704,14.566950,0.314836,1.988632,6.483022,0.670383,0.007978
0.010000,6.330239,14.567118,0.335371,2.053532,6.489941,0.691899,0.008435
0.010000,6.351423,14.567302,0.356556,2.118503,6.497094,0.715371,0.008898
0.010000,6.373258,14.567501,0.378391,2.183547,6.504463,0.736899,0.009367
0.010000,6.395743,14.567717,0.400878,2.248668,6.512060,0.759640,0.009840
0.010000,6.418881,14.567951,0.424017,2.313867,6.519881,0.782133,0.010317
0.010000,6.442671,14.568202,0.447808,2.379146,6.527922,0.804063,0.010798
0.010000,6.467115,14.568472,0.472253,2.444508,6.536191,0.826914,0.011281
0.010000,6.492213,14.568761,0.497353,2.509955,6.544681,0.849030,0.011765
0.010000,6.517966,14.569070,0.523108,2.575489,6.553396,0.871475,0.012250
0.010000,6.544375,14.569400,0.549519,2.641112,6.562333,0.893702,0.012735
0.010000,6.571441,14.569751,0.576587,2.706827,6.571495,0.916163,0.013219
0.010000,6.599164,14.570125,0.604313,2.772636,6.580879,0.938472,0.013701
0.010000,6.627547,14.570520,0.632699,2.838540,6.590488,0.960818,0.014179
0.010000,6.656590,14.570939,0.661744,2.904544,6.600319,0.983119,0.014654
0.010000,6.686293,14.571381,0.691451,2.970647,6.610373,1.005458,0.015123
0.010000,6.716658,14.571848,0.721819,3.036854,6.620651,1.027743,0.015587
0.010000,6.747685,14.572339,0.752851,3.103165,6.631152,1.050079,0.016043
0.010000,6.779377,14.572854,0.784547,3.169584,6.641875,1.072373,0.016491
0.010000,6.811734,14.573395,0.816908,3.236112,6.652822,1.094668,0.016930
0.010000,6.844756,14.573961,0.849935,3.302752,6.663991,1.116881,0.017359
0.010000,6.878446,14.574553,0.883630,3.369506,6.675384,1.139320,0.017775
0.010000,6.912804,14.575171,0.917994,3.436376,6.686999,1.161478,0.018180
0.010000,6.947832,14.575815,0.953028,3.503364,6.698836,1.183772,0.018570
0.010000,6.983531,14.576485,0.988733,3.570473,6.710897,1.206103,0.018945
0.010000,7.019901,14.577180,1.025110,3.637705,6.723181,1.228330,0.019304
0.010000,7.056945,14.577902,1.062160,3.705062,6.735687,1.250657,0.019646
0.010000,7.094663,14.578649,1.099886,3.772546,6.748416,1.272816,0.019968
0.010000,7.133056,14.579422,1.138287,3.840160,6.761368,1.295230,0.020271
0.010000,7.172127,14.580219,1.177366,3.907905,6.774543,1.317469,0.020552
0.010000,7.211877,14.581042,1.217124,3.975785,6.787941,1.339849,0.020810
0.010000,7.252306,14.581888,1.257562,4.043800,6.801561,1.361965,0.021044
0.010000,7.293416,14.582758,1.298682,4.111954,6.815405,1.384445,0.021252
0.010000,7.335209,14.583650,1.340484,4.180249,6.829472,1.406720,0.021434
0.010000,7.377686,14.584564,1.382971,4.248687,6.843762,1.429005,0.021587
0.010000,7.420849,14.585498,1.426144,4.317270,6.858277,1.451486,0.021710
0.010000,7.464698,14.586453,1.470004,4.386000,6.873014,1.473700,0.021802
0.010000,7.509237,14.587425,1.514553,4.454880,6.887976,1.496183,0.021861
0.010000,7.554465,14.588415,1.559792,4.523911,6.903161,1.518541,0.021886
0.010000,7.600385,14.589420,1.605723,4.593097,6.918571,1.540963,0.021875
0.010000,7.646998,14.590439,1.652347,4.662439,6.934205,1.563376,0.021827
0.010000,7.694306,14.591470,1.699667,4.731940,6.950063,1.585818,0.021739
0.010000,7.742311,14.592511,1.747683,4.801601,6.966146,1.608290,0.021611
0.010000,7.791014,14.593559,1.796397,4.871425,6.982453,1.630734,0.021441
0.010000,7.840417,14.594614,1.845811,4.941415,6.998985,1.653147,0.021227
0.010000,7.890521,14.595671,1.895927,5.011573,7.015742,1.675712,0.020967
0.010000,7.941329,14.596729,1.946746,5.081900,7.032722,1.698060,0.020660
0.010000,7.992843,14.597784,1.998270,5.152399,7.049928,1.720579,0.020304
0.010000,8.045063,14.598834,2.050500,5.223073,7.067358,1.742952,0.019898
0.010000,8.097992,14.599876,2.103440,5.293923,7.085012,1.765389,0.019438
0.010000,8.151631,14.600905,2.157089,5.364952,7.102888,1.787675,0.018925
0.010000,8.205984,14.601918,2.211451,5.436162,7.120989,1.810065,0.018355
0.010000,8.261050,14.602912,2.266526,5.507555,7.139310,1.832131,0.017728
0.010000,8.316833,14.603882,2.322318,5.579133,7.157854,1.854410,0.017040
0.010000,8.373334,14.604824,2.378827,5.650900,7.176617,1.876247,0.016291
0.010000,8.430556,14.605733,2.436055,5.722856,7.195599,1.898252,0.015479
0.010000,8.488499,14.606605,2.494005,5.795004,7.214798,1.919873,0.014601
0.010000,8.547167,14.607434,2.552679,5.867346,7.234212,1.941416,0.013655
0.010000,8.606560,14.608216,2.612078,5.939884,7.253839,1.962712,0.012640
0.010000,8.666682,14.608943,2.672204,6.012621,7.273675,1.983557,0.011554
0.010000,8.727534,14.609611,2.733059,6.085558,7.293720,2.004503,0.010395
0.010000,8.789118,14.610214,2.794646,6.158698,7.313966,2.024632,0.009160
