dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.462802,16.232614,0.000082,0.016400,1.640000,164.000000,6.282965
0.010000,5.462822,16.232614,0.000102,0.001985,-1.441450,-308.145028,6.282985
0.010000,5.462867,16.232614,0.000147,0.004466,0.248060,168.951069,6.283030
0.010000,5.462946,16.232614,0.000226,0.007935,0.346930,9.886972,6.283109
0.010000,5.463774,16.232614,0.001054,0.082832,7.489685,714.275465,0.000043
0.010000,5.466557,16.232614,0.003837,0.278237,19.540524,1205.083951,0.000201
0.010000,5.470034,16.232615,0.007314,0.347766,6.952856,-1258.766851,0.000399
0.010000,5.474207,16.232618,0.011487,0.417273,6.950741,-0.211432,0.000636
0.010000,5.479075,16.232621,0.016355,0.486756,6.948268,-0.247360,0.000911
0.010000,5.484637,16.232627,0.021917,0.556210,6.945411,-0.285674,0.001225
0.010000,5.490893,16.232636,0.028173,0.625630,6.941994,-0.341719,0.001578
0.010000,5.497843,16.232648,0.035123,0.695014,6.938358,-0.363597,0.001968
0.010000,5.505487,16.232665,0.042767,0.764355,6.934160,-0.419748,0.002395
0.010000,5.513823,16.232687,0.051103,0.833651,6.929580,-0.458004,0.002860
0.010000,5.522852,16.232715,0.060132,0.902897,6.924632,-0.494888,0.003361
0.010000,5.532573,16.232750,0.069853,0.972090,6.919209,-0.542235,0.003898
0.010000,5.542985,16.232794,0.080265,1.041223,6.913370,-0.583874,0.004470
0.010000,5.554088,16.232847,0.091368,1.110295,6.907129,-0.624181,0.005077
0.010000,5.565881,16.232910,0.103161,1.179299,6.900491,-0.663736,0.005718
0.010000,5.578363,16.232986,0.115644,1.248234,6.893406,-0.708497,0.006392
0.010000,5.591533,16.233075,0.128814,1.317092,6.885876,-0.752986,0.007099
0.010000,5.605392,16.233178,0.142673,1.385872,6.877949,-0.792737,0.007838
0.010000,5.619937,16.233298,0.157219,1.454568,6.869614,-0.833492,0.008607
0.010000,5.635168,16.233435,0.172451,1.523176,6.860852,-0.876202,0.009407
0.010000,5.651084,16.233592,0.188368,1.591693,6.851627,-0.922499,0.010236
0.010000,5.667684,16.233769,0.204969,1.660113,6.842014,-0.961284,0.011093
0.010000,5.684968,16.233968,0.222253,1.728433,6.832000,-1.001430,0.011978
0.010000,5.702933,16.234191,0.240219,1.796648,6.821463,-1.053666,0.012888
0.010000,5.721579,16.234440,0.258867,1.864754,6.810630,-1.083373,0.013824
0.010000,5.740904,16.234717,0.278194,1.932747,6.799276,-1.135393,0.014783
0.010000,5.760908,16.235023,0.298201,2.000622,6.787521,-1.175470,0.015765
0.010000,5.781589,16.235359,0.318884,2.068375,6.775365,-1.215610,0.016769
0.010000,5.802946,16.235728,0.340244,2.136003,6.762752,-1.261284,0.017793
0.010000,5.824977,16.236132,0.362279,2.203500,6.749714,-1.303788,0.018836
0.010000,5.847681,16.236571,0.384988,2.270863,6.736259,-1.345556,0.019897
0.010000,5.871057,16.237049,0.408369,2.338087,6.722386,-1.387224,0.020974
0.010000,5.895104,16.237567,0.432421,2.405167,6.708074,-1.431237,0.022065
0.010000,5.919818,16.238126,0.457142,2.472101,6.693326,-1.474794,0.023170
0.010000,5.945200,16.238728,0.482530,2.538882,6.678164,-1.516230,0.024287
