dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.463242,18.232614,0.000082,0.016400,1.640000,164.000000,6.282965
0.010000,5.463222,18.232614,0.000102,0.001985,-1.441450,-308.145028,6.282985
0.010000,5.463177,18.232614,0.000147,0.004466,0.248060,168.951069,6.283030
0.010000,5.463098,18.232614,0.000226,0.007935,0.346930,9.886972,6.283109
0.010000,5.463689,18.232614,0.000816,0.059047,5.111140,476.421023,0.000043
0.010000,5.466154,18.232614,0.003282,0.246562,18.751550,1364.041009,0.000201
0.010000,5.469237,18.232615,0.006364,0.308234,6.167188,-1258.436268,0.000399
0.010000,5.472936,18.232617,0.010064,0.369926,6.169223,0.203475,0.000636
0.010000,5.477252,18.232620,0.014380,0.431644,6.171722,0.249924,0.000911
0.010000,5.482186,18.232626,0.019314,0.493390,6.174665,0.294328,0.001225
0.010000,5.487738,18.232634,0.024866,0.555169,6.177896,0.323073,0.001578
0.010000,5.493908,18.232644,0.031035,0.616986,6.181718,0.382212,0.001968
0.010000,5.500696,18.232659,0.037824,0.678845,6.185828,0.411031,0.002395
0.010000,5.508104,18.232679,0.045231,0.740749,6.190386,0.455823,0.002860
0.010000,5.516131,18.232704,0.053258,0.802703,6.195406,0.501944,0.003361
0.010000,5.524778,18.232735,0.061906,0.864711,6.200795,0.538876,0.003898
0.010000,5.534045,18.232774,0.071173,0.926777,6.206605,0.580988,0.004470
0.010000,5.543934,18.232821,0.081062,0.988905,6.212849,0.624403,0.005077
0.010000,5.554445,18.232878,0.091573,1.051100,6.219535,0.668611,0.005718
0.010000,5.565579,18.232945,0.102707,1.113367,6.226618,0.708301,0.006392
0.010000,5.577335,18.233025,0.114464,1.175708,6.234101,0.748345,0.007099
0.010000,5.589716,18.233117,0.126845,1.238128,6.242028,0.792732,0.007838
0.010000,5.602722,18.233224,0.139852,1.300632,6.250392,0.836346,0.008607
0.010000,5.616354,18.233347,0.153484,1.363224,6.259175,0.878329,0.009407
