dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.994948,16.529000,0.000082,0.016400,1.640000,164.000000,6.283133
0.010000,5.994953,16.529000,0.000088,0.000556,-1.584408,-322.440849,6.283138
0.010000,5.994966,16.529000,0.000100,0.001250,0.069448,165.385606,6.283151
0.010000,5.994988,16.529000,0.000122,0.002221,0.097110,2.766209,6.283173
0.010000,5.996268,16.529000,0.001402,0.128003,12.578173,1248.106373,0.000021
0.010000,5.998936,16.529000,0.004071,0.266832,13.882877,130.470364,0.000065
0.010000,6.002271,16.529000,0.007406,0.333530,6.669772,-721.310552,0.000121
0.010000,6.006274,16.529001,0.011408,0.400221,6.669085,-0.068637,0.000187
0.010000,6.010943,16.529002,0.016077,0.466903,6.668260,-0.082551,0.000264
0.010000,6.016278,16.529004,0.021413,0.533576,6.667304,-0.095596,0.000352
0.010000,6.022281,16.529006,0.027415,0.600238,6.666202,-0.110179,0.000450
0.010000,6.028950,16.529010,0.034084,0.666888,6.664968,-0.123368,0.000559
0.010000,6.036285,16.529014,0.041419,0.733524,6.663595,-0.137282,0.000678
0.010000,6.044286,16.529020,0.049421,0.800145,6.662087,-0.150852,0.000808
0.010000,6.052954,16.529028,0.058088,0.866749,6.660439,-0.164808,0.000947
0.010000,6.062287,16.529037,0.067422,0.933336,6.658657,-0.178212,0.001096
0.010000,6.072286,16.529049,0.077421,0.999903,6.656733,-0.192370,0.001256
0.010000,6.082951,16.529063,0.088085,1.066450,6.654676,-0.205693,0.001424
0.010000,6.094280,16.529080,0.099415,1.132975,6.652479,-0.219710,0.001602
0.010000,6.106275,16.529101,0.111410,1.199476,6.650146,-0.233341,0.001789
0.010000,6.118935,16.529125,0.124069,1.265953,6.647675,-0.247102,0.001984
0.010000,6.132259,16.529152,0.137393,1.332403,6.645067,-0.260759,0.002188
0.010000,6.146247,16.529184,0.151382,1.398827,6.642321,-0.274639,0.002400
0.010000,6.160899,16.529221,0.166034,1.465221,6.639439,-0.288169,0.002621
0.010000,6.176215,16.529263,0.181350,1.531585,6.636417,-0.302207,0.002848
0.010000,6.192194,16.529311,0.197329,1.597918,6.633261,-0.315620,0.003084
0.010000,6.208836,16.529364,0.213971,1.664217,6.629966,-0.329500,0.003326
0.010000,6.226141,16.529424,0.231276,1.730483,6.626532,-0.343351,0.003575
0.010000,6.244108,16.529490,0.249243,1.796712,6.622961,-0.357097,0.003830
0.010000,6.262737,16.529564,0.267872,1.862905,6.619255,-0.370576,0.004091
0.010000,6.282027,16.529645,0.287163,1.929059,6.615410,-0.384565,0.004357
0.010000,6.301979,16.529735,0.307114,1.995173,6.611427,-0.398268,0.004629
0.010000,6.322591,16.529833,0.327727,2.061246,6.607308,-0.411869,0.004906
0.010000,6.343863,16.529941,0.349000,2.127277,6.603049,-0.425930,0.005186
0.010000,6.365796,16.530058,0.370932,2.193263,6.598656,-0.439272,0.005471
0.010000,6.388387,16.530184,0.393524,2.259205,6.594123,-0.453328,0.005759
0.010000,6.411638,16.530322,0.416775,2.325099,6.589454,-0.466942,0.006050
0.010000,6.435547,16.530470,0.440685,2.390946,6.584647,-0.480647,0.006343
0.010000,6.460114,16.530629,0.465252,2.456743,6.579702,-0.494543,0.006639
0.010000,6.485338,16.530801,0.490477,2.522489,6.574621,-0.508113,0.006936
0.010000,6.511219,16.530984,0.516359,2.588183,6.569401,-0.521933,0.007234
0.010000,6.537757,16.531180,0.542897,2.653823,6.564045,-0.535647,0.007532
0.010000,6.564950,16.531389,0.570091,2.719409,6.558550,-0.549436,0.007830
0.010000,6.592799,16.531611,0.597941,2.784938,6.552919,-0.563117,0.008127
0.010000,6.621302,16.531847,0.626445,2.850410,6.547151,-0.576869,0.008423
0.010000,6.650459,16.532097,0.655603,2.915822,6.541245,-0.590593,0.008718
0.010000,6.680270,16.532361,0.685415,2.981174,6.535201,-0.604334,0.009009
0.010000,6.710733,16.532640,0.715879,3.046464,6.529021,-0.618055,0.009298
0.010000,6.741848,16.532934,0.746996,3.111691,6.522703,-0.631792,0.009583
0.010000,6.773615,16.533243,0.778765,3.176854,6.516248,-0.645508,0.009863
0.010000,6.806033,16.533567,0.811184,3.241950,6.509655,-0.659233,0.010139
0.010000,6.839101,16.533907,0.844254,3.306980,6.502926,-0.672958,0.010409
0.010000,6.872819,16.534262,0.877973,3.371940,6.496059,-0.686703,0.010672
0.010000,6.907185,16.534633,0.912342,3.436831,6.489055,-0.700374,0.010928
0.010000,6.942200,16.535020,0.947358,3.501650,6.481914,-0.714133,0.011177
0.010000,6.977861,16.535423,0.983022,3.566396,6.474635,-0.727849,0.011417
0.010000,7.014170,16.535842,1.019333,3.631068,6.467220,-0.741548,0.011648
0.010000,7.051124,16.536277,1.056289,3.695665,6.459667,-0.755290,0.011868
0.010000,7.088723,16.536727,1.093891,3.760185,6.451977,-0.768982,0.012078
0.010000,7.126966,16.537193,1.132138,3.824626,6.444150,-0.782748,0.012276
0.010000,7.165853,16.537674,1.171027,3.888988,6.436185,-0.796438,0.012462
0.010000,7.205383,16.538170,1.210560,3.953269,6.428084,-0.810151,0.012635
0.010000,7.245554,16.538681,1.250735,4.017467,6.419845,-0.823867,0.012794
0.010000,7.286367,16.539206,1.291551,4.081582,6.411469,-0.837646,0.012937
