dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.648691,16.907693,0.000082,0.016400,1.640000,164.000000,0.000172
0.010000,5.648691,16.907693,0.000410,0.049200,3.280000,164.000000,0.000162
0.010000,5.648691,16.907693,0.001148,0.098400,4.920000,164.000000,0.000140
0.010000,5.648691,16.907693,0.002460,0.164000,6.560000,164.000000,0.000100
0.010000,5.648691,16.907693,0.004428,0.229600,6.560000,-0.000000,0.000041
0.010000,5.649969,16.907693,0.007052,0.295200,6.560000,-0.000000,6.283147
0.010000,5.653249,16.907692,0.010332,0.360800,6.560000,0.000000,6.283048
0.010000,5.657185,16.907692,0.014268,0.426400,6.560000,0.000000,6.282930
0.010000,5.661777,16.907690,0.018860,0.492000,6.560000,-0.000000,6.282792
0.010000,5.667025,16.907688,0.024108,0.557600,6.560000,0.000000,6.282636
0.010000,5.672929,16.907684,0.030012,0.623200,6.560000,-0.000000,6.282461
0.010000,5.679489,16.907679,0.036572,0.688800,6.560000,0.000000,6.282268
0.010000,5.686705,16.907671,0.043788,0.754400,6.560000,0.000000,6.282056
0.010000,5.694577,16.907661,0.051660,0.820000,6.560000,0.000000,6.281827
0.010000,5.703105,16.907649,0.060188,0.885600,6.560000,0.000000,6.281581
0.010000,5.712289,16.907633,0.069372,0.951200,6.560000,-0.000000,6.281318
0.010000,5.722129,16.907613,0.079212,1.016800,6.560000,0.000000,6.281038
0.010000,5.732625,16.907589,0.089708,1.082400,6.560000,0.000000,6.280742
0.010000,5.743777,16.907560,0.100860,1.148000,6.560000,-0.000000,6.280432
0.010000,5.755585,16.907526,0.112668,1.213600,6.560000,0.000000,6.280106
0.010000,5.768049,16.907485,0.125132,1.279200,6.560000,-0.000000,6.279766
0.010000,5.781169,16.907438,0.138252,1.344800,6.560000,0.000000,6.279413
0.010000,5.794945,16.907383,0.152028,1.410400,6.560000,0.000000,6.279047
0.010000,5.809377,16.907321,0.166460,1.476000,6.560000,0.000000,6.278669
0.010000,5.824464,16.907250,0.181548,1.541600,6.560000,-0.000000,6.278279
0.010000,5.840208,16.907169,0.197292,1.607200,6.560000,0.000000,6.277879
0.010000,5.856608,16.907079,0.213692,1.672800,6.560000,-0.000000,6.277468
0.010000,5.873664,16.906978,0.230748,1.738400,6.560000,0.000000,6.277049
0.010000,5.891375,16.906865,0.248460,1.804000,6.560000,0.000000,6.276622
0.010000,5.909743,16.906741,0.266828,1.869600,6.560000,-0.000000,6.276187
0.010000,5.928766,16.906604,0.285852,1.935200,6.560000,0.000000,6.275746
0.010000,5.948446,16.906453,0.305532,2.000800,6.560000,0.000000,6.275300
0.010000,5.968781,16.906288,0.325868,2.066400,6.560000,-0.000000,6.274849
0.010000,5.989772,16.906108,0.346860,2.132000,6.560000,0.000000,6.274395
0.010000,6.011420,16.905913,0.368508,2.197600,6.560000,-0.000000,6.273939
0.010000,6.033723,16.905701,0.390812,2.263200,6.560000,0.000000,6.273481
0.010000,6.056681,16.905473,0.413772,2.328800,6.560000,0.000000,6.273024
0.010000,6.080296,16.905228,0.437388,2.394400,6.560000,0.000000,6.272567
0.010000,6.104567,16.904965,0.461660,2.460000,6.560000,0.000000,6.272113
0.010000,6.129493,16.904683,0.486588,2.525600,6.560000,-0.000000,6.271663
0.010000,6.155075,16.904382,0.512172,2.591200,6.560000,0.000000,6.271217
0.010000,6.181313,16.904063,0.538412,2.656800,6.560000,-0.000000,6.270778
0.010000,6.208207,16.903723,0.565308,2.722400,6.560000,-0.000000,6.270346
