dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.370187,17.232614,0.000082,0.016400,1.640000,164.000000,0.001087
0.010000,5.370187,17.232614,0.000410,0.049200,3.280000,164.000000,0.001042
0.010000,5.370187,17.232614,0.001148,0.098400,4.920000,164.000000,0.000941
0.010000,5.370187,17.232614,0.002460,0.164000,6.560000,164.000000,0.000762
0.010000,5.370187,17.232614,0.004428,0.229600,6.560000,-0.000000,0.000493
0.010000,5.370187,17.232614,0.007052,0.295200,6.560000,-0.000000,0.000134
0.010000,5.372484,17.232614,0.010332,0.360800,6.560000,0.000000,6.282872
0.010000,5.376420,17.232611,0.014268,0.426400,6.560000,0.000000,6.282335
0.010000,5.381012,17.232606,0.018860,0.492000,6.560000,-0.000000,6.281709
0.010000,5.386260,17.232596,0.024108,0.557600,6.560000,0.000000,6.280995
0.010000,5.392164,17.232581,0.030012,0.623200,6.560000,-0.000000,6.280192
0.010000,5.398724,17.232558,0.036572,0.688800,6.560000,0.000000,6.279301
0.010000,5.405940,17.232527,0.043788,0.754400,6.560000,0.000000,6.278323
0.010000,5.413812,17.232484,0.051660,0.820000,6.560000,0.000000,6.277258
0.010000,5.422340,17.232429,0.060188,0.885600,6.560000,0.000000,6.276106
0.010000,5.431523,17.232358,0.069372,0.951200,6.560000,-0.000000,6.274869
0.010000,5.441363,17.232270,0.079212,1.016800,6.560000,0.000000,6.273545
0.010000,5.451858,17.232161,0.089708,1.082400,6.560000,0.000000,6.272137
0.010000,5.463010,17.232030,0.100860,1.148000,6.560000,-0.000000,6.270645
0.010000,5.474816,17.231872,0.112668,1.213600,6.560000,0.000000,6.269070
0.010000,5.487279,17.231686,0.125132,1.279200,6.560000,-0.000000,6.267412
0.010000,5.500397,17.231468,0.138252,1.344800,6.560000,0.000000,6.265672
0.010000,5.514171,17.231214,0.152028,1.410400,6.560000,0.000000,6.263851
0.010000,5.528600,17.230921,0.166460,1.476000,6.560000,0.000000,6.261951
0.010000,5.543684,17.230586,0.181548,1.541600,6.560000,-0.000000,6.259971
0.010000,5.559424,17.230204,0.197292,1.607200,6.560000,0.000000,6.257913
0.010000,5.575818,17.229772,0.213692,1.672800,6.560000,-0.000000,6.255779
0.010000,5.592867,17.229286,0.230748,1.738400,6.560000,0.000000,6.253568
0.010000,5.610571,17.228741,0.248460,1.804000,6.560000,0.000000,6.251283
0.010000,5.628929,17.228134,0.266828,1.869600,6.560000,-0.000000,6.248925
0.010000,5.647941,17.227459,0.285852,1.935200,6.560000,0.000000,6.246495
