dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.369100,18.232613,0.000082,0.016400,1.640000,164.000000,0.001087
0.010000,5.369145,18.232613,0.000127,0.004488,-1.191247,-283.124665,0.001042
0.010000,5.369246,18.232614,0.000228,0.010096,0.560810,175.205648,0.000941
0.010000,5.369426,18.232614,0.000407,0.017943,0.784765,22.395508,0.000762
0.010000,5.369695,18.232614,0.000676,0.026904,0.896081,11.131658,0.000493
0.010000,5.370053,18.232614,0.001035,0.035852,0.894781,-0.130015,0.000134
0.010000,5.372798,18.232614,0.003779,0.274458,23.860654,2296.587259,6.282872
0.010000,5.377271,18.232611,0.008252,0.447293,17.283476,-657.717808,6.282335
0.010000,5.382488,18.232605,0.013470,0.521787,7.449367,-983.410915,6.281709
0.010000,5.388451,18.232594,0.019432,0.596228,7.444137,-0.522981,6.280995
0.010000,5.395158,18.232577,0.026139,0.670684,7.445528,0.139089,6.280192
0.010000,5.402608,18.232551,0.033590,0.745065,7.438121,-0.740652,6.279301
0.010000,5.410802,18.232515,0.041784,0.819411,7.434627,-0.349414,6.278323
0.010000,5.419739,18.232467,0.050721,0.893715,7.430428,-0.419866,6.277258
0.010000,5.429419,18.232404,0.060401,0.967971,7.425525,-0.490382,6.276106
0.010000,5.439840,18.232324,0.070823,1.042170,7.419923,-0.560206,6.274869
0.010000,5.451003,18.232223,0.081986,1.116306,7.413630,-0.629280,6.273545
0.010000,5.462906,18.232100,0.093890,1.190393,7.408740,-0.489019,6.272137
0.010000,5.475549,18.231951,0.106534,1.264409,7.401583,-0.715670,6.270645
0.010000,5.488931,18.231773,0.119917,1.338329,7.391952,-0.963109,6.269070
0.010000,5.503052,18.231562,0.134039,1.412215,7.388593,-0.335913,6.267412
0.010000,5.517910,18.231315,0.148899,1.485977,7.376241,-1.235187,6.265672
0.010000,5.533504,18.231027,0.164496,1.559666,7.368872,-0.736859,6.263851
0.010000,5.549833,18.230696,0.180828,1.633279,7.361306,-0.756607,6.261951
0.010000,5.566897,18.230317,0.197896,1.706775,7.349599,-1.170760,6.259971
0.010000,5.584693,18.229885,0.215698,1.780171,7.339646,-0.995285,6.257913
0.010000,5.603221,18.229397,0.234232,1.853461,7.328922,-1.072386,6.255779
0.010000,5.622480,18.228848,0.253499,1.926635,7.317443,-1.147884,6.253568
0.010000,5.642467,18.228233,0.273496,1.999687,7.305226,-1.221743,6.251283
0.010000,5.663182,18.227547,0.294222,2.072636,7.294860,-1.036549,6.248925
0.010000,5.684623,18.226786,0.315676,2.145430,7.279435,-1.542488,6.246495
0.010000,5.706788,18.225945,0.337857,2.218089,7.265852,-1.358340,6.243994
0.010000,5.729675,18.225018,0.360763,2.290623,7.253410,-1.244151,6.241424
0.010000,5.753283,18.224000,0.384393,2.362991,7.236828,-1.658249,6.238786
0.010000,5.777610,18.222886,0.408745,2.435205,7.221405,-1.542291,6.236082
0.010000,5.802653,18.221671,0.433818,2.507279,7.207388,-1.401656,6.233313
0.010000,5.828411,18.220349,0.459610,2.579168,7.188911,-1.847748,6.230481
0.010000,5.854881,18.218914,0.486119,2.650887,7.171895,-1.701584,6.227588
0.010000,5.882061,18.217361,0.513343,2.722428,7.154074,-1.782124,6.224636
0.010000,5.909948,18.215684,0.541281,2.793783,7.135475,-1.859875,6.221626
0.010000,5.938541,18.213878,0.569930,2.864944,7.116126,-1.934858,6.218561
0.010000,5.967836,18.211936,0.599289,2.935919,7.097541,-1.858583,6.215441
0.010000,5.997830,18.209853,0.629356,3.006676,7.075720,-2.182097,6.212271
0.010000,6.028522,18.207623,0.660128,3.077221,7.054501,-2.121845,6.209050
0.010000,6.059907,18.205241,0.691604,3.147562,7.034011,-2.049050,6.205783
0.010000,6.091983,18.202699,0.723781,3.217665,7.010318,-2.369272,6.202470
0.010000,6.124747,18.199994,0.756656,3.287541,6.987629,-2.268918,6.199115
0.010000,6.158195,18.197118,0.790228,3.357187,6.964620,-2.300830,6.195719
0.010000,6.192325,18.194066,0.824494,3.426582,6.939507,-2.511297,6.192285
0.010000,6.227132,18.190832,0.859451,3.495729,6.914681,-2.482696,6.188816
0.010000,6.262614,18.187411,0.895097,3.564620,6.889121,-2.555957,6.185313
0.010000,6.298766,18.183796,0.931430,3.633249,6.862868,-2.625337,6.181781
0.010000,6.335586,18.179984,0.968446,3.701609,6.835958,-2.690981,6.178221
0.010000,6.373068,18.175967,1.006143,3.769696,6.808772,-2.718610,6.174636
0.010000,6.411209,18.171740,1.044518,3.837501,6.780519,-2.825294,6.171029
0.010000,6.450006,18.167299,1.083568,3.905017,6.751569,-2.894938,6.167403
0.010000,6.489454,18.162638,1.123291,3.972246,6.722891,-2.867848,6.163760
0.010000,6.529549,18.157753,1.163682,4.039171,6.692525,-3.036572,6.160104
0.010000,6.570287,18.152637,1.204740,4.105796,6.662422,-3.010317,6.156438
0.010000,6.611664,18.147287,1.246461,4.172110,6.631402,-3.101984,6.152765
0.010000,6.653675,18.141698,1.288842,4.238108,6.599891,-3.151118,6.149088
0.010000,6.696316,18.135865,1.331880,4.303788,6.567908,-3.198294,6.145410
0.010000,6.739582,18.129785,1.375572,4.369141,6.535388,-3.251965,6.141735
0.010000,6.783469,18.123453,1.419913,4.434165,6.502372,-3.301650,6.138065
0.010000,6.827973,18.116865,1.464902,4.498854,6.468895,-3.347685,6.134404
